1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
5.000000 0.000000 0.000000
0.000000 2.000000 0.000000
0.000000 0.000000 2.000000
5.000000 2.000000 2.000000 B
5.000000 2.000000 1.000000 B
5.000000 1.000000 2.000000 A
1.000000 2.000000 2.000000 B
0.500000 0.500000 0.500000 B
5.000000 1.000000 1.000000 A
1.000000 2.000000 1.000000 B
0.500000 0.500000 1.500000 B
1.000000 1.000000 2.000000 B
0.500000 1.500000 0.500000 A
2.000000 2.000000 2.000000 A
1.500000 0.500000 0.500000 A
1.000000 1.000000 1.000000 B
0.500000 1.500000 1.500000 A
2.000000 2.000000 1.000000 B
1.500000 0.500000 1.500000 B
2.000000 1.000000 2.000000 B
1.500000 1.500000 0.500000 B
3.000000 2.000000 2.000000 B
2.500000 0.500000 0.500000 A
2.000000 1.000000 1.000000 B
1.500000 1.500000 1.500000 B
3.000000 2.000000 1.000000 A
2.500000 0.500000 1.500000 A
3.000000 1.000000 2.000000 A
2.500000 1.500000 0.500000 B
4.000000 2.000000 2.000000 B
3.500000 0.500000 0.500000 B
3.000000 1.000000 1.000000 B
2.500000 1.500000 1.500000 B
4.000000 2.000000 1.000000 A
3.500000 0.500000 1.500000 B
4.000000 1.000000 2.000000 A
3.500000 1.500000 0.500000 A
4.500000 0.500000 0.500000 A
4.000000 1.000000 1.000000 A
3.500000 1.500000 1.500000 B
4.500000 0.500000 1.500000 B
4.500000 1.500000 0.500000 A
4.500000 1.500000 1.500000 B
