1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.632990
5.000000 0.000000 0.000000
0.000000 4.000000 0.000000
0.000000 0.000000 1.000000
5.000000 4.000000 1.000000 A
1.000000 4.000000 1.000000 A
2.000000 4.000000 1.000000 B
3.000000 4.000000 1.000000 A
4.000000 4.000000 1.000000 B
5.000000 1.000000 1.000000 B
1.000000 1.000000 1.000000 B
2.000000 1.000000 1.000000 A
3.000000 1.000000 1.000000 B
4.000000 1.000000 1.000000 B
5.000000 2.000000 1.000000 A
1.000000 2.000000 1.000000 B
2.000000 2.000000 1.000000 B
3.000000 2.000000 1.000000 B
4.000000 2.000000 1.000000 B
5.000000 3.000000 1.000000 B
1.000000 3.000000 1.000000 B
2.000000 3.000000 1.000000 A
3.000000 3.000000 1.000000 B
4.000000 3.000000 1.000000 B
0.666667 0.333333 0.500000 A
1.666667 0.333333 0.500000 B
2.666667 0.333333 0.500000 A
3.666667 0.333333 0.500000 A
4.666667 0.333333 0.500000 B
0.666667 1.333333 0.500000 A
1.666667 1.333333 0.500000 B
2.666667 1.333333 0.500000 B
3.666667 1.333333 0.500000 B
4.666667 1.333333 0.500000 A
0.666667 2.333333 0.500000 B
1.666667 2.333333 0.500000 B
2.666667 2.333333 0.500000 B
3.666667 2.333333 0.500000 B
4.666667 2.333333 0.500000 A
0.666667 3.333333 0.500000 B
1.666667 3.333333 0.500000 B
2.666667 3.333333 0.500000 B
3.666667 3.333333 0.500000 B
4.666667 3.333333 0.500000 B
